"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","17","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","26","6","60.892673","0","28"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","33","33","2","77.400566","0","33"
"/OpenXR/Devices/M_XRController.M_XRController","21","45","31","3","134.174652","0","91"
"Globals","21","659","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","2","2","1","7.945275","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","2","2","1","9.095957","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","2","1","32.787525","0","339"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.585493","0","2"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","2.308645","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","2.045609","0","2"
"/OculusVR/Materials/TouchForQuestRiftSControllerMaterial.TouchForQuestRiftSControllerMaterial","21","15","2","1","20.246864","0","67"
"/OculusVR/Materials/touchController_mat.touchController_mat","21","30","3","1","34.583572","0","227"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","21","2","2","1","2.050512","0","2"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","21","2","2","1","2.073321","0","2"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","2","2","1","2.048682","0","2"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","44","5","1","73.387955","0","365"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","104","1","1","175.172989","0","2003"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","21","195","8","1","101.339584","0","3029"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","21","75","1","1","74.969894","0","1204"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","240","1","1","529.890503","0","9199"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","21","2","2","1","7.172969","0","2"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","21","2","2","1","6.303523","0","2"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","6.360272","0","2"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","30","1","109.231339","0","30"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","7.294822","0","2"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","6.847260","0","2"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","15","1","69.387993","0","15"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","6.448784","0","2"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","21","51","51","1","212.982635","0","51"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","10","10","1","43.726147","0","10"
